Title,Content
this stuff really work,if you  like me  enjoy an adult beverage or six and wake up feeling like garbage the next day  you have to get flyby  as i ve gotten older my ability to binge drink and wake up feeling peppy has quickly been replaced with head splitting hangovers  i found flyby online and originally ordered sample packs from their website  you just pay for shipping  and i was absolutely amazed that i could drink all i wanted  consume minimal amounts of water  and wake up feeling perfect  this stuff is legit  i thought it was a fluke the first few times i used it  but as long as you end up with a good night of sleep after drinking  you ll wake up hangover free  i usually take   before i start drinking and another   before bed if i ve heavily indulged and remember to take it  i ve had pretty wild success with this  although i wake up feeling dehydrated  gone are the days of spending the entire next day in bed 
never want to drink without them,i ve tested these   times so far and i love them  i typically only drink on the weekends with the exception of a weekly girls wine night here and there  even     glasses and no buzz would have me feeling deathly ill the next day  nauseous  headaches  exhaustion   the first time i tried them i had   glasses of wine and woke up feeling like a champ  my second experience was an all day affair mixing vodka  champagne  craft beer and regular beer  i felt pretty good that morning but did get a little sickly feeling mid morning but it went away after i ate  obviously these pills aren t going to cure an   hour binge of mixed alcohols but they certainly lessened the blow  last night i went out with friends and drank about   glasses of wine and i feel      normal  like i had none  i will never have drinks again without them 
bad bad bad,ever hear of the term snake oil salesman   well it s not good  clearly amazon allows anyone to make any claim and sell cheap junk that clearly does not hold up  don t get this  drink water  works better  this stuff should be removed for fake claim
great product ,we used these on several trips now  waking up with no hangover  have even forgot to take them the morning before drinking and just took   as soon as we woke up and fell great in a very short time  have had several friends try them and have since ordered then too 
pass on this for jet lag relief,i travelled to europe from the us and was looking forward to these pills to help with jet lag  i followed the directions carefully  but unfortunately they did nothing to help with my jet lag symptoms  waste of money 
not just for hangovers anymore ,i have used flyby for about six months now and not only have i noticed it alleviates the murky grogginess one gets after a glass of wine too many  but it seems to energize me in the morning as well  i take it at night and have no trouble at all waking up in the morning at all   i bounce right out of bed and get going  i don t take any other supplements but flyby and melatonin for sleep  sometimes vitamin d  i m in my   s and flyby works great for me  hangover or not     people every day die of liver cancer and i am determined not to be a statistic   people forget that your liver is as essential as your heart and kidneys to help you life your best life  love flyby 
what s do you have to lose other than your hangover ,my best friend referred this hangover cure to me so i figured  why not   all i have to lose is a hangover  the order arrived quickly even though i selected the free shipping option which normally takes longer  i was excited to try this  recovery  option out so i put it to the test for a west hollywood sunday funday outing  you have to take three capsules before you go out and three capsules before bed so it definitely go through them quicker than i was expecting to initially  however i felt decent the next day  while this is not a miracle cure i deafly felt better than i normally do on monday mornings going to work  an added bonus was about an hour after getting up and getting my day started i started to feel better much sooner than usual  i m looking forward to trying this recovery option again for the next couple weekends and if it works as well as it did my first time  i can see this as a repeat order  
just drink more water ,first off  this product comes with a tag offering you free stuff for a   star review  so you can know the reviews are kind of skewed  but hey  it s not the first product i ve purchased with this kind of offer  sadly  it is however  the worst product with this offer  flyby does not prevent hangovers  every time i ve taken this product as directed on the label  i have the worst headache i ve had in years  i dont feel sick which is good  but the headaches last for days even without drinking  this product does not help  and if anything makes it worse  the ingredients are good  but not as a supposed hangover preventer  milk thistle will help your liver  but whatever else is in this is going to guarantee a hangover regardless of quantity drank  would not recommend 
didn t help for me    ,used the product pills for the first time this past weekend  had   beers and   vodka and clubs between    pm and   pm  took   pills before drinking with a big glass or water and then took another   before bed with a big glass of water  these pills didn t help at all with feeling hungover the next morning  always hope that there is a magic pill for feeling like garbage the night after drinking but once again disappointed that there s not  i have a friend that drinks mostly wine and he said that they help  so maybe there s a connection with wine and these helping but they didn t help with beer and vodka  if i paid over     would look for a refund but not worth sending back for under            
too expensive   doesn t work for hangovers  but still a decent product ,never once worked to  cure a hangover   but i suppose if you are into herbal supplements then it would be something you would be interested in  extremely pricey for the herbs that are in them 
doesn t work,i bough these for a guys trip and it didn t work for any of us  just an expensive pill that does nothing  what a waste of money 
works well ,flyby works well for hangovers after a night of heavy drinking  for a super heavy night of drinking  however  it helps smooth the rough edges of the hangover but won t prevent it altogether  i do wish you didn t have to take six pills for one night of drinking  though  still would recommend 
works as advertised  definitely eases hangover pain  cheaper than thrive ,i m new to the hangover prevention game  my first attempt was with thrive  after seeing it pop up on a facebook ad  after deciding that it did  in fact  seem to help  i researched alternatives and came across flyby  i made sure to do some research and see what ingredients really mattered in a pill s efficacy  and found flyby to contain the most important ingredient  dhm  flyby is the more affordable option compared to thrive   so anyone considering thrive  should at least order a bottle of flyby to compare  since ordering flyby  i ve tried it in a variety of settings  a few casual drinks at home      strong ipas at the local brewery  and half a bottle of whiskey while out camping  in each case  i woke up feeling far better than expected and able to get a better start on the day  the worst i felt was after the whiskey night  but i ve historically had allergic reactions to heavy amounts of whiskey that no hangover pill can cure  with that said  i was able to party till   a m   then wake up at   a m  to take sunrise photos  i m a naturally anxious person with a hyperactice nervous system  so anxiety and shaky nerves related to alcohol withdrawal are very real to me  my experience with flyby has seen that awful symptom effectively disappear  i ll definitely be purchasing another bottle of flyby while continuing to try different products 
this stuff is awesom,my job involves lots of social events at late hours followed by early morning speaking engagements  not a great combo  i got this thinking it would help a bit   but i m honestly surprised how great it works  not only do i think it minimizes hangovers  i m pretty sure it prevents me from getting too drunk  i will definitely be traveling with this in my suitcase 
flyby   i should ve flown away from it,     update   seller refunded me  so that s cool  thanks  flyby   i should ve flown right past this one and kept going  tried it several times hoping it would work but it didn t do jack  a waste of money in my opinion  so i ll continue my endless search for the ultimate hangover remedy                    
waste of moolah,pure garbage  i bought these and shared them with   other people  we each took three with food before drinking  as instructed  we each had three drinks and three shots and took three more pills each before bed  as instructed on the bottle  not only did we all have nasty hangovers  but my hangover lasted twice as long  the consensus was that if anything  these pills made the hangover worse  no thanks  i ll stick to my water and ibuprofen 
it works     just don t wait too late in the evening and watch out for big ipa,i was impressed  i feel like this stuff does work quite well  if you follow the instructions  however  after using flyby a few times i have an observation tip for ipa and hoppy beer lovers out there  this product works well for mitigating many of the unpleasant effects of alcohol    but hops and hop oils  not so much  i thought the product was not working too well the first two times i tried it and woke up the next day feeling pretty rough  but i had been drinking really big ipas and even an imperial ipa that were just loaded with hops  the following week though i had friends over and we were only drinking spirits and wine and gave it a shot  next morning i was totally impressed at the effect  i pretty much felt like i had not been drinking the night before  i have since tried a couple more experiments with the same results and come to the conclusion  i even noticed that when we were drinking lagers without too much of a hop profile this stuff worked great  but the hop levels in ipas and other super hoppy beers are causing another part type of hangover that is only partially helped by this product  so    i feel like the product works as described and will likely buy it again 
did not work,these actually made me feel worse 
buyer bewar,beware if you are prone to anxiety from herbal stimulants as i am  this may cause negative reactions  and didn t do anything for my hangover 
ive tried everything to prevent hangovers and this is the only product that really does work ,honestly i was so skeptical about this product at first because i have tried literally everything to prevent my hangovers  i get the worst hangovers to the point where i can t even keep water down the next morning and i am bedridden for a day sometimes two  just like the ceo  i also lack an enzyme that doesn t allow me to digest alcohol properly  i have tried all of the drinks supplements  other hangover prevention pills  vitamins etc  etc  and nothing has helped me  i had a friend tell me about flyby  she doesn t get as bad of hangovers as i do but she said it worked great  so i decided to give it a try and my goodness i am so happy i did  i woke up this morning  after drinking too much tequila last night  after trying flyby for the first time  with no hangover  no throwing up and being able to function fully  the only con i think i have about this product is that it is sometimes difficult to remember to take it before i go to bed if i ve had too much to drink  i was also very exhausted all day today after drinking heavily last night but that s the nature of drinking  i love this product and i will continue to use it in the future  i am so happy that i have found something to help me not be miserable after drinking  thank you flyby 
this is packed full of  uppers  and didn t work for m,the vitamin b  taurine and ginseng are all known compounds that people take for energy  taurine is in redbull  go look at a bottle of   hour energy    it is pure vitamin b  ginseng has been used for energy and alertness for thousands of years  now why are all of these in a pill suposed to help with hangovers    maybe if you take them in the morning after drinking those   might help you feel less tired  but to load your body with energetic compounds before sleep i dont understand  i can only speak for my   uses of this product  i realllly wanted it to work but it didnt for me  both times it actually left me with an accelerated heart rate almost the entire next day  i had my same usual headache from drinking the night before but was also pretty  jacked up  from the pills  not a very pleasant feeling when you are just trying to sleep off the hangover  everyone s body chemistry is different so maybe i am just unlucky  the main ingredient in these pills that has shown promise with helping breakdown the negative compounds alcohol turns into is dhm  that was what i was excited about trying out  i think it would be cool if they started selling a version of these without the vitamin b  taurine and ginseng  those i might give   more shot  but these       i will never buy again and if i could return the opened bottle  i would  sorry 
it s not magic   it s science ,very pleasantly surprised    i was going into this very skeptical but the positive reviews won me over and i decided to buy it  wow    i know for a fact that after what i drank a couple nights ago  i should have had the early am  detox overheat  and woken up a wreck    but i didn t  i m not going to oversell it stating i was       because i never could be    i was a solid         very mild headache that my morning brew eliminated and just a touch fatigued  i d say that s a fantastic result considering what i know the alternative could have been    well worth the minimal investment to eliminate some grief  my usual  routine  included pre and during hydration and post b  bed chlorella tablets  wheat grass and barley grass juice  freeze dried juice powder   filtered water  then bed  this did not do much other than assist in the not so fantastic detox process that still sucked   robbing me of sleep and causing me to still wake up way below par  by adding flyby to the routine by taking   before the festivities and   after  endurance festivities over many hours may necessitate a mid dosage for maximum effectiveness  it has been a game changer  i am not generally a big drinker but on the occasion that i do  i no longer have to suffer for it now  i call that winning 
it really work,amazing  i took   before drinking  drank for several hours   vodka lemonades  wine and sugary things that normally cause a hangover  took the   before bed  drank a bunch of water and was awake by  am feeling amazing  normally i d have been sick for at least     days totally laid out on the couch 
it works ,if you drink with reckless abandon and take this product do not expect to wake up with no hangover  it will help though  i also get migraines and taking this has reduced my migraines thus far  flyby if you are reading this you should look into the migraine preventing aspects of this supplement 
scari,i have no idea what is in these    besides what it  says   made me feel like a zombie for   days     i drank again a few days later and did not take these and felt like the  normal 
works very well but remember to drink wat,like everyone else who decided to buy this product  i was highly skeptical  what i will say is that don t expect to have  no hangover effects   it isn t a miracle cure in that way  that being said  i decided to really put this to the test  i drank two bottles of wine and about five     johnny blacks  i was nice an liquored up  i took it the prescribed way  three pills before you drink and three pills before i went to bed   and the first thing that i noticed was that i wasn t getting buzzed as quickly  i really  really liked that part  it was like back in the days when i would hit a couple lines of coke and adderall before i went out to party  it gave you that nice  sorta buzzed  feeling  then when i woke up the next morning  i didn t have that hazy feeling  where i normally would drink a bloody mart to feel better  that you get after a night of hard drinking  i was a bit dehydrated but i attributed that to not drinking enough water  my advice is to take this and still drink some water  i am going try that on my next binge 
very helpful ,i have always sufferered from horrible hangovers to the point where i am nauseated and vomiting most of the day  when i was younger  i suffered through it but now that i have kids  i cannot lie around hungover when i have children to take care of  i don t even drink much at all anymore  mostly because i am a parent now  but also because i just can t function the next day  i finally looked up hangover pills and found these  after going back and forth between these and others and reading reviews  i decided to try flyby  my husband and i went to a concert with another couple at a casino and were up pretty late drinking  i must say  aside from being extremely tired from only getting a couple hours sleep  i did not find my head spinning or having to run to the toilet when i tried to move or get up  i was a little shaky  but i think that was from lack of sleep  but not once did i feel like i was going to throw up  this is a big improvement from my normal day after drinking  thank you 
plain and simple   it works ,i purchased a bottle of flyby to take before a whiskey convention on a friday night  i knew there would be a lot of  tasting  and i did not want to spend the rest of the weekend with a hangover  so much tougher to get over these days  i took three of these before i left with after dinner and a big glass of water  no bad taste  went right down and then i forgot about them  when i got home  i had three laid out on the counter and took them before i went to bed  i woke up the next morning and felt fine  i was able to get up early the next day and get done what i had planned to do  errands  gym  dinner with no problems  i am taking them again tonight as i head out w  a few friends to watch the game at the local bar  see pic  tried to give an idea of the size of the capsules 
dhm really does work ,what s great about this product is that it contains a good amount of dihydromyricetin which is something that i have a lot of luck with in the past for hangovers  i can be a heavy drinker but as i get older my hangovers put me down for    hours  dhm really curbs that and this product also contains all the vitamins electrolytes and supplements that other hangover relief pills have  i take   before i start drinking and   when i m done with plenty of water and the next day i don t have the shakes nor do i want to jump in front of a tractor trailer truck  will buy again
didn t work,they say they ll give you your money back if this doesn t work and for me this did not work at all      it smelled horrible opening up the bottle and it was so hard to swallow because the pills are huge  was still hungover after following instructions so won t be getting again 
didn t help  still hungover ,this did nothing for me  took as directed before and after drinking   glasses of wine and i still felt crappy in the morning  disappointing 
yup  it works ,this stuff really works  my hangovers have been getting worse as i get older so i decided to buy this for a vacation to the caribbean  i drank tropical cocktails  beer and wine every day and took three pills before i went to bed  woke up the next morning ready to go again  this stuff really saved me 
take with lots of water for great result,it makes me drink more water and that s good because i used to put that off  so it hydrates too  then in the morning  you pop out of bed and feel great  i only have taken it when there is some big wine dinner we go to  or a reunion  things like that  i share with friends so i have gone through it  i had to open my big mouth and they wanted to try it  they liked it too  i always forget my vitamins and feel i get them with this product 
highly recommend if hangovers are your enemi,i only purchased this because my local grocery store ran out of advanced care pedialyte  which our friends rave over  reading a few reviews  ok  a lot  lead me to giving flyby a shot  this was purchased strictly for a weekend out where i knew my spouse and i would be partying hard  few details  i m in my mid    s and my husband is in his mid    s  once upon a time in a galaxy far away we d stay out drink  eat  then find an after hours place or continue the party at the house  sometimes there d be work involved later sometimes not  either way we d manage  maybe a bit tired and groggy buts that where the hangover stopped  fast forward     years    oh god we senselessly beg for our lives back after a few drinks    glasses of wine and a cocktail will have me feeling like murder  make that anything with shots and i am bed ridden for   days shaking and dying to death  no fun w  kids      anyhow  first night taking the recommend dosage we split a bottle of wine and then had two cocktails  next day  slightly tired mildly groggy but we can function  that same night    glasses of champagne  couple shots  tequila and fruity terrible crap   vodka soda and then   beers  i bet way too much on these pills but they freakin worked  got in at      slept till   and had no problems what so ever  felt like i had maybe a glass of robust cabernet  it almost was as if the second dose worked better  now keep in mind we downed water every opportunity we got  as another reviewer mentioned  we felt that this also lessened the impact of the alcohol  all in all  we are super impressed  we have no plans to drink like that anytime in the near future but rest assure we will pre game with this stuff  amazing 
does not work,this review is from my husband   worst hangover of my life  just came back from an overnighter to vegas  it was a bachelor party  i took the pills as instructed and besides that i drank plenty of water  i woke up the next day with a pounding headache that wouldn t go away all day  normally my hangovers will be gone by late afternoon but this one went through the evening  this product was the worst  i ve never experienced a hangover like the one i had yesterday  do not buy this one  go try something else 
works well for moderate drinking nights ,i have tried a few of the  hangover cure  pills on the market today and they all seem to be pretty comparable  flyby will be my go to since it is the most cost effective and has similar results to the more expensive options  the pills can t reverse bad decisions however  i am almost    and dont bounce back like i used to  with this product  and supplementing water throughout out the night  you should be fine in the am  i am usually up and out to the gym the next day by          am  i also have to do a fair amount of wining and dining with clients for work and these can be a lifesaver in those scenarios  i would suggest giving it a try 
surprised   ,i was pessimistic when i ordered this product  but have used it numerous times  and it has worked beautifully  will definitely be ordering again  thank you for a wonderful helpful product 
they work ,i have tried these only two times now but i am happy to report that  yes  i do think they work  we recently took a vegas trip where i did a little extended drinking one night  took these as directed and the next morning i was good as gold  i am very pleased 
good product,i am getting older and don t recover from a night of drinking like i use to  i have tried several products for hangovers but this one seems to work the best  i don t feel nearly as depleted as i normally do from a night out  i will definitely continue to buy this product 
simply didn t do anyth,i really really wanted to love these  as an experienced drinker who was raised in las vegas  i ve had my share of brutal hangovers  and while i never expected these to get rid of that   and they don t advertise that they do   i expected to feel at least     better the next morning  that itself would have made this worth it to me  unfortunately  i felt nothing  and neither did anyone at the last party we had that i offered these up to  perhaps i had a  bad batch  but seriously   it did nothing at all  then i thought perhaps we all drank too much and that no pill on earth could aid the damage we did to ourselves during that party  so i tried it again on a night out with clients where we had a few glasses of wine  no jager bombs and beer funnels  just some wine  still  i felt absolutely no different the next morning than i typically do  nothing measurable  the guest service from these folks is top notch though  very communicative and enjoyable to speak with  if the formula ever changes i ll be first in line with my money out ready to give it a shot  again  i desperately wanted this to work  probably more than anyone on amazon lol 
pretty good results for a not so young ladi,at    i m probably not your usual demographic but i find anything over   drinks might spell trouble and sometimes for three days  one intense day which is ultra embarrassing well out of my   s   and rougher on my body     two with lingering headaches that threaten to burst back w migraine like pain   and i love wine   both the little bit it unknots tension and for the flavor and sensory experience  i had an iffy experience w my first try at a hangover med  a useless second  and a gross liquid to boot    and then pretty good results w flyby    of   tries saw me feeling almost refreshed the next day  almost better than a sober night s sleep  the third was still pretty good   a little headache but nothing unbearable or that really impeded function 
my favorite new supplement ,this is my favorite new supplement  i can definitely tell a difference when taking it   especially the fact that i don t wake up at   or   am after the alcohol has worn off  after doing research  i found that the reason i was feeling shaky and anxious the morning after was due to low gaba levels  which this product prevents  i also appreciate that this company chose to use the better  safer and more preferred form  at least for me  of vitamin b    methylcobalamin  instead of the cheaper  and less safe  form  cyanocobalamin  in further research  i ve found that all of the other ingredients in this supplement are targeted to help with clearing the alcohol from your system and aiding in the recovery of bodily functions that are adversely affected by alcohol consumption  i m so grateful to have found this product 
these pills are a life saver ,this is my second bottle  the first lasted awhile  and since it s one of the few hangover cures that has actually worked  i ordered it again  after consuming alcohol  sometimes a bit too much   i ll take a couple of these  have a large glass of water with a small snack  and then head to bed  if i can get more than five hours of sleep  i wake up feeling mostly normal  maybe a bit dehydrated  but not  hungover   i can function and think like normal  regular appetite  and no haziness or fogginess that i ll normally get from drinking  without these   forget it  i ve tried to go back  never again  i wake up feeling like a zombie  and it usually takes most of the day before i feel like my brain is finally working  if i forget to take them  lord help me the day after is awful  maybe i ve become too reliant on them  but i don t drink that often  so it s not too much of an issue  simply put  they work great to me  they work  alright  for my wife  in her words  it s infinitely better than waking up with a pounding headache and a tiredness that doesn t stop  they might seem pricey  but is it worth a couple of dollars to not feel terrible after a night of fun  to me  absolutely 
top shape ,most definitely worked after consuming a bottle of good cabernet a few too many nights  took   before drinking and   right before bed like directed  woke up the next day feeling top shape  no headaches  no grogginess  just like a normal day to me  great product  thanks 
waste of money ,tried it  total waste of money  had   macallan shots  which is my regular on a party night  woke up as usual somewhat hung over with a headache  yea advil  banana and   glasses of water helped  this stuff made no difference   i would not recommend 
hard to always remember to take the second set of pil,i wanted to used this product to help me with the morning after a night of fun  i always start out great with the first set of pills  but try as i might i can t ever seem to take the last set  i understand that this isn t the fault of flyby  but obviously it would be more effective if you could take all you need before you start on your night out  i gave the product one star because the effectiveness is based off of actually being able to use it correctly  the second step is just at a point where you may not always remember to take the next set of pill  with that being said  when i have a hang over and i have taken the first set  i don t see that much of a difference 
don t forget to take a few bottles if you re going on be drinking heavily on a cruise ,   updated in oct          i know there isn t sufficient scientific evidence to backup the claims made by the manufacturer of this product  however  it worked very well previously on a cruise  the same company sells  hang zero   which promises the same effects but costs a lot less  so  i gave  hang zero  a try  expecting the same wonderful experience i had with flyby  long story short i tried  hang zero  several times  but i was just as hungover as i would have been without  so  i went back and purchased a big bottle of flyby   and it s been working great     original review from sept      below     i ve tried similar products before  and i haven t noticed any effects  since this product seemed different and the fakespot report was excellent  though  i gave it a try as i went on a cruise  fully intending on partying day and night for   days  i am a vodka drinker and  omg  w    capsules before and   capsules after overindulging each day  i wake up fresh w o headaches or the usual  ugh  semi nauseous feelings  in particular  one day  i was forced into mixing vodka and  cheap  champagne all evening  and i knew i was going to suffer the following morning   but  seriously  i woke up just fine feeling fresh  this review is beginning to sound fake  so i will include the negatives  first  when   capsules per day are required  and that s a lot of capsules to consume each time  and a bottle of    only covers   days  it s certainly my fault that i didn t realize this until i was already on the ship  but people in similar situations should be aware of this  also  the capsules are a bit tough to swallow  and i would really love it if the doses could somehow be more condensed  despite these areas of improvement  and i do realize my experience may be due to placebo effect   i give this product enthusiastic thumbs up 
not same product received as advertis,i am returning this product on the sole issue that the ingredients on the bottle sent to me does not match the description ordered  i noticed others who posted product reviews recieved the same bottle i did  i don t know if the different amounts of ingredients listed is better or worse than the original post describes  but having taurine listed as the second most ingredient in each capsule  the same energizing ingredient for redbull   makes me not wish to even give them a try 
does it s job ,i decided to try this during a gf s bday weekend where i knew we d be having more than a little fun  i took it as the instructions said to and i have to say  the next day i didn t have that  cloud  feeling  i did still sleep in the next day but i felt totally normal by the time noon came around  granted  i didn t go to bed until after  am  so sleeping in was to be expected  i will be buying this product in the future  as i have learned  there are scientific reasons to take it  even if you don t get hung over  the ingredients help your liver metabolize the toxic byproducts alcohol produces in our bodies  definitely a must for girls nights in the future    
highly recommend  works as described ,i would highly recommend these pills  i ve taken them on a few occasions and had virtually no hang over the next day  they have no taste and are similar to your standard ibuprofen gel capsule in size  very good investment and a must have for the medicine cabinet 
this stuff works   ,i didn t expect much from this  but it actually works surprisingly well  i took   before drinking and   before sleep  and though i did still have a hangover the next day  it was inconvenient rather than debilitating  i d say this reduced the hangover by      which is amazing   
horrible headach,i ve now tried this on two different occasions  neither time did i drink anymore than i usually would on a night out  as instructed i took before and after  i experienced massive headaches after about     hours of taking this which is worse than waking up the next day with a hangover  i will say the next day i feel a bit better than usual but it s not worth the massive headaches i experience while still out drinking 
fly by prevents hangovers and migrain,i found this product when planning to go to new orleans with a group  knowing that i don t drink much i wanted to ensure that i would not have any adverse effects from moderate drinking  when reading reviews i noticed one lady stated that it also worked for migraines  after reading that it works to prevent or treat migraine symptoms i had to try it  i found that this product works well to ward off any negative effects of moderate drinking  i did not drink an excessive amount of alcohol so i cannot speak on that  but it did take care of my moderate drinking  after returning home i continued to use it when i felt migraine symptoms starting  and to my surprise it works well to stop the migraine  it also helps if you have already started throwing up and feeling nauseous from a migraine  i hope this review is helpful 
pleasantly surpris,i had my neighbor  who is a doctor  look at the ingredients and she saw no red flags  with that in mind  i took this on a trip with me to napa  i was better about not drinking too much  compared to earlier napa trips where i was way to excited to drink everything   however  i still took this everyday around   am  with that first glass of bubbles  and then at night before bed  sometimes  depending on our agenda  i would take a few before dinner as well  i have to say  even with my  toned down  drinking  i felt a difference taking flyby  i would wake up feeling good   like really good  we would be having wine throughout the day and i woke up without the hallmark sluggishness and headaches that i sometimes get with a few drinks  i read some reviews that said that people saw benefit from taking this everyday  so i m considering taking   every night to see how this goes  in any case  i will definitely continue to purchase and use as directed when i know i ll be drinking more than usual 
this is not for the weak drinker ,i tried this product after reading a review for hangover cures  my hangovers are too strong i guess because this product did not work for me  i don t drink hardly ever because i get so sick but wanted to give this a shot and i was just as sick as i usually am  this product might work for people who drink often and experience the normal hangovers but i would not recommend this is you have an intolerance to alcohol like i do 
miracle pil,so these pills are big  not massive but they re not small by any means  that being said  i have never had an easy time swallowing pills of any kind but these ended up going down pretty easily  for whatever reason i have always dealt with awful and debilitating hangovers  ranging from a morning of headaches and nausea after just a couple drinks to several days of only being able to get out of bed to dry heave after a big night out  to properly asses these pills i saved these and brought them along with me on my spring break trip when i knew i d need them most  after   consecutive days of day drinking from noon to well after midnight i can safely report that i didn t get a single hangover and i woke up every morning invigorated and ready to get back after it  never in my wildest dreams could i have imagined it would work this well  truly miracle pills  and as a test run i went out once more this week for a night of moderate drinking without the pills and to no surprise i woke up with a killer hangover  the only catch to these pills is that if taken as recommended you will end up taking at least   pills in one outing  making this entire bottle only   total doses  despite this  i actually only took     of them total per day throughout a     hour period of repeated and constant alcohol consumption and it worked like a charm  so i feel like the recommendations of dosage are a bit of overkill  i plan to live by this product from now on and flyby has found themselves a customer for life 
nope,did not work at all  have tried other pills that work but decided to try these due to price and reviews but these just did not work for me and the wifey  i will not be rebuy
