Title,Content
great for pre workout regular morning drink,i have tried several brands of energizing re hydration products and this is my favorite  i like the easy single serving packs  flavor is great  and i feel great after using them  they re a little more expensive than liquid iv s regular packets  but in all fairness it s understandable 
not worth the pric,taste terrible     
nasti,nastiest thing i ve ever had
cost,just wish you got more packets for the money   
not what i expect,disappoint
not work,too much sugar
taste and results ,i just didn t like the taste 
easy to use and good taste  it works ,great taste  good energy  and i feel hydrated  and much better for you than a redbull or soda 
it works ,great way to start the morning  and a small burst of energy mid day 
the flavor is strong and will take getting used to ,i like the product  i would like to see some other flavors 
better than gaterad,better than gaterade and the lemon lime flavor was great 
really work,not my favorite flavor but the amazon long lasting energy it gives me makes it worth it 
can t be healthy with all that sodium ,product had too much sodium 
it works ,the taste could be bett
i m out,yeah if they re not going to talk about where they get their matcha source from i m out 
calm of boost of energi,i started a caffeine detox  and it s been       years since i begun  i m very conscientious about what i consume where it s from  liquid i v a a  berry has been my go to  and has saved me more then on one occasion  this company doesn t necessarily care about profit  they care about impact  they truly wish to make a difference and that s why i like them  today for the first time in       years i ve had caffeine and it was this matcha liquid i v        years ago i would have heart palpitations  today years later  nothing  i felt fine  i even felt safe  i felt a very calming boost of focus  i loved the taste  it didn t smell awful  didn t taste like gasoline  it worked  and i only drank half of the   oz bottle with mix  i ve been on the fence for a few months now  bought it  i really like it   
great taste ,i have been using liquid iv  lemon lime  for many years  the new energy ginger tea flavor is delicious  i find it to be alittle strong so i only put a     pack in my bottle water  keep up the great work  it s been a staple in my life 
great product for wnergi,nothing and i mean nothing gives me energy    but this product which was recommended to me by my friend at work  worked the impossible  i will definitely without a doubt be purchasing more and more  i passed them out to some of my coworkers at work and they even loved them 
a way to stay hydrated that tastes good ,working outside in construction makes it challenging to stay hydrated  water gets to be tiresome  this liquid i v  has good taste   not fruity  not sweet  but refreshing  now i use one every day to go along with the water that is the backbone of hydration  lemon lime is a favorite 
works   but tastes god aw,so i drink the regular liquid iv and love it  tastes great  so i was excited to try the energy version to get off my redbull kick and save a bit of money  and it seems to work  but dear lord the taste  the taste is not good at all  sadly  i won t be buying another bag of it  the normal stuff is great though  i give them   stars 
works great   but the flavor is over pow,i live by liquid iv   was very excited to see they now had an energy version  the energy is great   long lasting  the only reason i am not giving this   stars is due to the flavor  the flavor is over powering and lacks what the other liquid iv flavors offer  i hope they create another flavor soon 
seems to be perfect ,no crash energy and excellent flavor  not excessive caffeine content  no jittery feeling 
yucky tast,ewww    it has a horrible taste  i can t get past a few sips and i m gagging  i had high hopes too 
water is good  with this it s great,works  keeps me hydrated 
love this drink,i take it with me to work  gives me plenty of energy no jitters 
good hydrating drink mix,i really enjoy the ginger   lemon flavor 
taste needs to improv,need to really improve the flavor of both this and the sleep  i am a forever customer of the hydration multiplier but these need work 
